type,severity,correct,total,accuracy,time
dawn,0.25,84,100,0.84,17.144999265670776
dawn,0.25,84,100,0.84,16.699949741363525
dawn,0.25,85,100,0.85,16.617966413497925
dawn,0.25,77,100,0.77,16.839375257492065
dawn,0.25,76,102,0.7450980392156863,16.12355637550354
dawn,0.5,92,100,0.92,16.651009798049927
dawn,0.5,93,100,0.93,17.086381912231445
dawn,0.5,96,102,0.9411764705882353,17.134847164154053
dawn,0.5,92,100,0.92,16.857654333114624
dawn,0.5,91,102,0.8921568627450981,16.088502168655396
dawn,0.75,90,101,0.8910891089108911,16.184309482574463
dawn,0.75,98,100,0.98,17.214709758758545
dawn,0.75,91,101,0.900990099009901,17.251447439193726
dawn,0.75,94,100,0.94,16.645359754562378
dawn,0.75,91,100,0.91,16.540237188339233
dawn,1.0,97,101,0.9603960396039604,17.18468475341797
dawn,1.0,94,100,0.94,15.52254319190979
dawn,1.0,94,100,0.94,16.876635551452637
dawn,1.0,98,102,0.9607843137254902,17.428909063339233
dawn,1.0,92,100,0.92,16.295761108398438
dusk,0.25,32,100,0.32,16.807727575302124
dusk,0.25,30,101,0.297029702970297,17.164428234100342
dusk,0.25,23,101,0.22772277227722773,17.561307191848755
dusk,0.25,25,100,0.25,16.018828868865967
dusk,0.25,34,102,0.3333333333333333,16.436352968215942
dusk,0.5,69,100,0.69,16.1299946308136
dusk,0.5,79,100,0.79,16.89585781097412
dusk,0.5,84,102,0.8235294117647058,17.094529151916504
dusk,0.5,73,101,0.7227722772277227,16.687018156051636
dusk,0.5,74,101,0.7326732673267327,16.798566579818726
dusk,0.75,84,103,0.8155339805825242,16.596643924713135
dusk,0.75,86,100,0.86,15.827383756637573
dusk,0.75,88,100,0.88,17.663549661636353
dusk,0.75,81,100,0.81,17.494619607925415
dusk,0.75,99,103,0.9611650485436893,18.962713479995728
dusk,1.0,98,101,0.9702970297029703,18.0920889377594
dusk,1.0,95,100,0.95,16.40384578704834
dusk,1.0,90,100,0.9,18.427382707595825
dusk,1.0,93,100,0.93,17.098199367523193
dusk,1.0,89,101,0.8811881188118812,17.321218729019165
bright,0.25,98,101,0.9702970297029703,16.123491525650024
bright,0.25,97,102,0.9509803921568627,17.124414443969727
bright,0.25,99,100,0.99,17.624730348587036
bright,0.25,98,101,0.9702970297029703,17.13013768196106
bright,0.25,98,101,0.9702970297029703,16.26800298690796
bright,0.5,100,100,1.0,17.201205015182495
bright,0.5,101,101,1.0,17.55278706550598
bright,0.5,101,101,1.0,16.554033041000366
bright,0.5,100,100,1.0,17.001916885375977
bright,0.5,100,100,1.0,17.683760404586792
bright,0.75,101,101,1.0,17.044581174850464
bright,0.75,99,100,0.99,17.693443298339844
bright,0.75,99,102,0.9705882352941176,17.553183555603027
bright,0.75,104,106,0.9811320754716981,16.107143878936768
bright,0.75,95,100,0.95,16.84950590133667
bright,1.0,99,101,0.9801980198019802,16.847228050231934
bright,1.0,97,100,0.97,16.58131718635559
bright,1.0,97,101,0.9603960396039604,17.09190845489502
bright,1.0,97,101,0.9603960396039604,18.012732982635498
bright,1.0,98,101,0.9702970297029703,17.66643238067627
