type,severity,correct,total,accuracy,time
snow,1,90,101,0.8910891089108911,19.009719133377075
snow,1,94,100,0.94,19.036381483078003
snow,1,93,100,0.93,18.86931347846985
snow,1,86,100,0.86,23.05957818031311
snow,1,89,100,0.89,20.87380361557007
snow,2,72,101,0.7128712871287128,19.766833066940308
snow,2,75,100,0.75,20.78767490386963
snow,2,73,100,0.73,20.419049739837646
snow,2,81,101,0.801980198019802,19.46057915687561
snow,2,74,101,0.7326732673267327,20.34550952911377
snow,3,76,100,0.76,19.02943778038025
snow,3,81,102,0.7941176470588235,19.451085090637207
snow,3,74,100,0.74,18.705631971359253
snow,3,79,100,0.79,19.83521318435669
snow,3,71,101,0.7029702970297029,18.51493549346924
snow,4,69,100,0.69,18.93456196784973
snow,4,75,100,0.75,19.79850172996521
snow,4,58,103,0.5631067961165048,19.749109745025635
snow,4,63,101,0.6237623762376238,20.112035751342773
snow,4,62,100,0.62,19.43571400642395
snow,5,72,103,0.6990291262135923,18.13188910484314
snow,5,53,100,0.53,19.779751300811768
snow,5,76,102,0.7450980392156863,20.151686668395996
snow,5,65,101,0.6435643564356436,20.52735948562622
snow,5,67,101,0.6633663366336634,19.782817363739014
fog,1,87,100,0.87,17.6864812374115
fog,1,96,100,0.96,17.187777042388916
fog,1,88,100,0.88,18.67196798324585
fog,1,90,101,0.8910891089108911,17.41144561767578
fog,1,102,102,1.0,18.170153856277466
fog,2,86,101,0.8514851485148515,19.02603816986084
fog,2,86,100,0.86,18.109532594680786
fog,2,88,101,0.8712871287128713,18.121928215026855
fog,2,96,101,0.9504950495049505,18.088672399520874
fog,2,92,100,0.92,18.476438522338867
fog,3,91,101,0.900990099009901,18.619693994522095
fog,3,87,100,0.87,17.402840852737427
fog,3,89,101,0.8811881188118812,19.400192260742188
fog,3,79,101,0.7821782178217822,18.352104902267456
fog,3,88,102,0.8627450980392157,18.096795082092285
fog,4,88,100,0.88,18.589706659317017
fog,4,84,100,0.84,17.12979793548584
fog,4,89,100,0.89,17.173601150512695
fog,4,87,101,0.8613861386138614,18.07378125190735
fog,4,94,102,0.9215686274509803,18.587908506393433
fog,5,88,100,0.88,18.343231916427612
fog,5,78,100,0.78,18.340250253677368
fog,5,94,100,0.94,18.62155270576477
fog,5,90,101,0.8910891089108911,18.01014995574951
fog,5,88,100,0.88,17.820242404937744
frost,1,97,101,0.9603960396039604,16.921583652496338
frost,1,94,101,0.9306930693069307,17.92902898788452
frost,1,94,101,0.9306930693069307,17.2361421585083
frost,1,93,100,0.93,17.228617906570435
frost,1,91,100,0.91,17.111862659454346
frost,2,84,102,0.8235294117647058,17.567848920822144
frost,2,73,100,0.73,17.18014645576477
frost,2,85,100,0.85,17.445686101913452
frost,2,83,100,0.83,17.760189056396484
frost,2,86,100,0.86,17.731427431106567
frost,3,67,101,0.6633663366336634,17.206477880477905
frost,3,66,100,0.66,16.987537622451782
frost,3,76,101,0.7524752475247525,17.601460218429565
frost,3,73,100,0.73,18.40664505958557
frost,3,64,100,0.64,17.572916507720947
frost,4,65,100,0.65,17.11567449569702
frost,4,67,101,0.6633663366336634,17.69080424308777
frost,4,71,101,0.7029702970297029,17.905953407287598
frost,4,69,100,0.69,17.537347078323364
frost,4,78,101,0.7722772277227723,17.52254867553711
frost,5,56,102,0.5490196078431373,17.093251943588257
frost,5,72,100,0.72,17.224344491958618
frost,5,72,101,0.7128712871287128,18.15692639350891
frost,5,69,100,0.69,17.19709038734436
frost,5,66,100,0.66,17.751896619796753
