epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8834,1.04092,6.06922,0.94497,0.0051,0.16472,0.00537,0.00457,0.86116,4.98674,0.85467,1.62865e-05,1.62865e-05,1.62865e-05
2,109.513,0.97037,5.36366,0.88749,0.33359,0.04542,0.02062,0.01761,0.82429,4.15435,0.85161,3.13281e-05,3.13281e-05,3.13281e-05
3,153.344,0.94449,4.70409,0.88528,0.26915,0.07733,0.0413,0.03483,0.78924,3.47469,0.85272,4.50761e-05,4.50761e-05,4.50761e-05
4,197.012,0.90494,4.18084,0.8787,0.26521,0.12371,0.07229,0.06105,0.74995,3.00351,0.84581,4.31788e-05,4.31788e-05,4.31788e-05
5,240.843,0.86569,3.8046,0.8783,0.26793,0.16185,0.10546,0.09079,0.71676,2.70927,0.8416,4.12384e-05,4.12384e-05,4.12384e-05
6,284.545,0.84906,3.55783,0.87594,0.33434,0.18534,0.1397,0.12186,0.69466,2.50081,0.83797,3.9298e-05,3.9298e-05,3.9298e-05
7,328.357,0.82226,3.34599,0.86756,0.31207,0.22085,0.17004,0.14829,0.68342,2.35019,0.8369,3.73576e-05,3.73576e-05,3.73576e-05
8,371.741,0.81369,3.17946,0.86797,0.35206,0.23905,0.19518,0.17015,0.67147,2.2293,0.83534,3.54172e-05,3.54172e-05,3.54172e-05
9,415.102,0.79362,3.02689,0.86404,0.3789,0.25783,0.21809,0.19194,0.65696,2.12808,0.83221,3.34768e-05,3.34768e-05,3.34768e-05
10,458.353,0.77842,2.92163,0.86389,0.34208,0.28024,0.24603,0.21758,0.6444,2.02461,0.83037,3.15364e-05,3.15364e-05,3.15364e-05
11,501.686,0.7789,2.82625,0.86356,0.36311,0.30434,0.2626,0.23214,0.63764,1.93534,0.8297,2.9596e-05,2.9596e-05,2.9596e-05
12,545.044,0.76981,2.73963,0.86223,0.39593,0.33449,0.29105,0.25829,0.63207,1.8745,0.8286,2.76556e-05,2.76556e-05,2.76556e-05
13,588.109,0.77086,2.69261,0.86129,0.39967,0.33843,0.30439,0.27073,0.62619,1.80666,0.82712,2.57152e-05,2.57152e-05,2.57152e-05
14,631.163,0.75218,2.59794,0.85726,0.42425,0.35952,0.3229,0.28628,0.62139,1.76578,0.82666,2.37748e-05,2.37748e-05,2.37748e-05
15,673.692,0.75109,2.52098,0.85771,0.41787,0.37404,0.33713,0.29907,0.61691,1.7067,0.82599,2.18344e-05,2.18344e-05,2.18344e-05
16,718.028,0.6938,2.65237,0.84902,0.42716,0.36677,0.33493,0.2961,0.63134,1.72797,0.8275,1.9894e-05,1.9894e-05,1.9894e-05
17,759.757,0.68505,2.57343,0.8478,0.41819,0.38838,0.35452,0.31354,0.62392,1.66377,0.82635,1.79536e-05,1.79536e-05,1.79536e-05
18,801.474,0.6756,2.50847,0.84315,0.43641,0.39787,0.36682,0.32447,0.61765,1.62262,0.82571,1.60132e-05,1.60132e-05,1.60132e-05
19,843.063,0.67181,2.44065,0.84296,0.4523,0.40006,0.37603,0.33363,0.61562,1.60679,0.82565,1.40728e-05,1.40728e-05,1.40728e-05
20,884.928,0.66504,2.41002,0.84278,0.4619,0.41426,0.38963,0.34638,0.60815,1.57293,0.82449,1.21324e-05,1.21324e-05,1.21324e-05
21,927.414,0.65661,2.36101,0.83986,0.47236,0.41868,0.39564,0.3513,0.6063,1.54695,0.82354,1.0192e-05,1.0192e-05,1.0192e-05
22,969.707,0.66208,2.35773,0.84002,0.46983,0.42014,0.40336,0.35818,0.60532,1.53583,0.82366,8.2516e-06,8.2516e-06,8.2516e-06
23,1011.9,0.65564,2.3216,0.83692,0.45729,0.4304,0.40682,0.36224,0.60252,1.52755,0.82321,6.3112e-06,6.3112e-06,6.3112e-06
24,1054.14,0.65585,2.31003,0.8387,0.46746,0.43183,0.40891,0.36413,0.602,1.51986,0.82288,4.3708e-06,4.3708e-06,4.3708e-06
25,1096.34,0.64978,2.28764,0.83888,0.47251,0.43222,0.4116,0.36671,0.59956,1.50969,0.82256,2.4304e-06,2.4304e-06,2.4304e-06
