epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.444,4.93529,9.82969,4.35183,2e-05,0.00227,2e-05,1e-05,4.06022,6.47043,4.02909,1.62837e-05,1.62837e-05,1.62837e-05
2,93.3384,4.18785,8.37644,3.57407,0.00045,0.00825,0.0004,0.00013,3.42405,6.00388,3.1374,3.22941e-05,3.22941e-05,3.22941e-05
3,128.612,3.52102,7.46019,2.88968,0.00071,0.02744,0.00069,0.00019,3.20404,5.65793,2.70764,4.79811e-05,4.79811e-05,4.79811e-05
4,163.436,3.19624,6.78039,2.57383,0.00149,0.0858,0.00208,0.0007,2.87371,5.21622,2.49117,4.75447e-05,4.75447e-05,4.75447e-05
5,198.448,2.89959,6.19535,2.3483,0.00177,0.16122,0.00314,0.00132,2.61992,4.80529,2.26936,4.70596e-05,4.70596e-05,4.70596e-05
6,233.522,2.68605,5.70241,2.16469,0.3159,0.01703,0.00489,0.00248,2.43594,4.49938,2.0956,4.65745e-05,4.65745e-05,4.65745e-05
7,268.658,2.46791,5.28987,2.00874,0.35128,0.01584,0.00632,0.0032,2.25468,4.24404,1.95986,4.60894e-05,4.60894e-05,4.60894e-05
8,303.514,2.33517,4.99163,1.90676,0.40735,0.01734,0.00861,0.00454,2.08582,4.03939,1.84653,4.56043e-05,4.56043e-05,4.56043e-05
9,338.644,2.1966,4.78517,1.80668,0.41554,0.02382,0.01119,0.00648,1.95331,3.90472,1.75454,4.51192e-05,4.51192e-05,4.51192e-05
10,374.032,2.09763,4.60283,1.72699,0.38728,0.03473,0.01314,0.00772,1.86232,3.79479,1.67193,4.46341e-05,4.46341e-05,4.46341e-05
11,409.378,2.00262,4.44989,1.66931,0.40883,0.03122,0.01543,0.0092,1.80672,3.70682,1.62181,4.4149e-05,4.4149e-05,4.4149e-05
12,444.366,1.93775,4.33956,1.61367,0.48001,0.0321,0.01733,0.01068,1.73837,3.62982,1.56242,4.36639e-05,4.36639e-05,4.36639e-05
13,479.711,1.87338,4.21454,1.58044,0.42681,0.04359,0.02046,0.01301,1.68652,3.5605,1.52847,4.31788e-05,4.31788e-05,4.31788e-05
14,514.992,1.83484,4.14156,1.54193,0.41281,0.03692,0.02271,0.01448,1.63757,3.5004,1.4992,4.26937e-05,4.26937e-05,4.26937e-05
15,550.419,1.79872,4.04667,1.51435,0.4393,0.04421,0.02541,0.01568,1.61077,3.46216,1.48072,4.22086e-05,4.22086e-05,4.22086e-05
16,586.006,1.75497,3.95486,1.48452,0.42483,0.05525,0.03,0.01931,1.57591,3.39877,1.44795,4.17235e-05,4.17235e-05,4.17235e-05
17,621.226,1.71974,3.89103,1.45882,0.39327,0.06157,0.03188,0.02127,1.55446,3.36964,1.42577,4.12384e-05,4.12384e-05,4.12384e-05
18,656.56,1.69173,3.82324,1.43779,0.39458,0.08042,0.03687,0.02505,1.52391,3.29472,1.40046,4.07533e-05,4.07533e-05,4.07533e-05
19,691.598,1.65556,3.75606,1.41246,0.38552,0.07855,0.0376,0.02543,1.50193,3.24361,1.37676,4.02682e-05,4.02682e-05,4.02682e-05
20,726.666,1.64475,3.71655,1.40094,0.39975,0.06629,0.04047,0.02782,1.46903,3.22992,1.37263,3.97831e-05,3.97831e-05,3.97831e-05
21,761.989,1.62604,3.66808,1.39454,0.35746,0.07586,0.04285,0.0291,1.46684,3.17723,1.35206,3.9298e-05,3.9298e-05,3.9298e-05
22,797.167,1.59214,3.61158,1.36951,0.3632,0.07353,0.04579,0.03168,1.44221,3.15228,1.33581,3.88129e-05,3.88129e-05,3.88129e-05
23,832.571,1.57568,3.56437,1.36665,0.38579,0.07903,0.05011,0.03483,1.41935,3.10801,1.32709,3.83278e-05,3.83278e-05,3.83278e-05
24,867.825,1.55701,3.52598,1.34609,0.35179,0.09542,0.05321,0.03749,1.41238,3.09735,1.31572,3.78427e-05,3.78427e-05,3.78427e-05
25,903.221,1.55682,3.49853,1.33448,0.29518,0.0954,0.05498,0.03815,1.3892,3.05503,1.29925,3.73576e-05,3.73576e-05,3.73576e-05
26,938.362,1.50348,3.43228,1.31086,0.2976,0.11639,0.05899,0.04141,1.38363,3.028,1.29192,3.68725e-05,3.68725e-05,3.68725e-05
27,972.714,1.50981,3.42796,1.3153,0.31476,0.1121,0.06153,0.04355,1.36478,2.99817,1.27726,3.63874e-05,3.63874e-05,3.63874e-05
